Wall time,Step,Value
1764557569.9101121,19,5632983.0
1764557571.18971,43,4714361.5
1764557571.3480618,46,4472012.0
1764557572.7455947,72,3694568.5
1764557573.9704852,95,2826212.5
1764557577.3557274,159,1736026.25
1764557577.828831,168,1647519.0
1764557581.3314042,230,1342227.625
1764557581.5945642,235,1248528.125
1764557582.7135558,256,1348122.125
1764557583.6712706,274,1257547.875
1764557585.52537,309,1186026.75
1764557585.6313038,311,1169893.75
1764557586.0539947,319,1200173.5
1764557587.5834668,348,1198333.25
1764557588.6431184,368,1065005.625
1764557591.7155964,422,1048254.625
1764557593.7720904,461,1148628.25
1764557594.5089786,475,1112841.0
1764557597.8044443,537,1037164.125
1764557599.2276568,564,983136.125
1764557600.0721967,580,1001232.6875
1764557600.439247,587,958837.3125
1764557600.4919868,588,1000048.375
1764557603.1844456,635,988065.8125
1764557603.873179,648,981735.25
1764557604.6131039,662,932852.375
1764557605.1387274,672,1062195.5
1764557607.4209788,715,974252.1875
1764557607.8432262,723,939689.1875
1764557610.1084943,766,920607.8125
1764557610.3191268,770,930648.0625
1764557610.4247637,772,983029.375
1764557611.1608803,786,978505.75
1764557611.2660935,788,867307.3125
1764557612.269086,803,1034087.6875
1764557612.5864518,809,1058103.75
1764557614.0788188,837,1006708.5
1764557619.862007,946,853596.875
1764557621.248623,972,925011.0625
1764557621.3013644,973,871805.6875
1764557621.620581,979,850269.625
1764557623.11398,1003,894727.6875
1764557623.2732272,1006,956030.625
1764557623.7529156,1015,999527.875
1764557626.3532338,1064,947284.375
1764557626.511684,1067,993373.0
1764557627.9459953,1094,902531.9375
1764557628.2668417,1100,884941.5625
1764557628.5324354,1105,864641.5
1764557631.4715257,1157,838026.1875
1764557631.7403243,1162,831603.9375
1764557631.7932756,1163,833433.25
1764557632.7555356,1181,809540.75
1764557633.4497635,1194,859263.375
1764557636.4014966,1245,855734.75
1764557637.3065543,1262,839417.3125
1764557640.2310646,1317,760035.875
1764557640.3889587,1320,808511.0
1764557641.133128,1334,785544.375
1764557641.3454726,1338,852231.75
1764557643.9048457,1386,828842.3125
1764557644.27668,1393,804841.625
1764557645.660196,1415,749608.0
1764557646.2994192,1427,778775.875
1764557646.8291256,1437,965905.5625
1764557648.420861,1467,737201.4375
1764557649.003421,1478,794793.125
1764557649.7442374,1492,802109.375
1764557651.4611464,1524,764923.6875
1764557653.0050328,1553,744541.625
1764557653.865066,1569,834689.625
1764557654.7149878,1585,777993.6875
1764557654.926914,1589,762039.0
1764557656.0440586,1606,793977.5625
1764557657.898967,1641,775648.1875
1764557660.1298413,1683,705519.25
1764557660.606715,1692,767049.875
1764557661.5706108,1710,809526.625
1764557662.047278,1719,798734.125
1764557662.7965178,1733,755461.0625
1764557662.9026966,1735,778673.1875
1764557663.0641973,1738,829855.9375
1764557665.4049869,1782,820610.6875
1764557668.0179515,1827,718122.8125
1764557668.974806,1845,725827.5
1764557669.4561608,1854,754895.625
1764557670.1463602,1867,704166.8125
1764557670.3072495,1870,766645.125
1764557670.7338107,1878,809043.5625
1764557672.8707962,1918,742723.875
1764557673.7795508,1935,762193.3125
1764557674.3125052,1945,774648.25
1764557674.4757638,1948,710269.75
1764557677.5845017,2002,726804.375
1764557678.2266717,2014,736310.4375
1764557679.4518108,2037,736906.625
1764557681.6357176,2078,721777.375
1764557682.0591714,2086,686162.375
1764557682.27196,2090,710017.75
1764557682.6431966,2097,827906.375
1764557687.515934,2188,671698.4375
1764557687.727967,2192,783982.75
1764557688.1565819,2200,840352.25
1764557689.020112,2212,663386.6875
1764557690.2505941,2232,670631.75
1764557690.5174472,2237,680222.875
1764557690.5708532,2238,715798.875
1764557691.6461682,2258,668073.0
1764557691.9121249,2263,702586.8125
1764557694.3074284,2308,733345.0625
1764557694.9449263,2320,711894.1875
1764557696.3219492,2346,670388.0
1764557696.8045642,2355,750682.125
1764557698.6660337,2390,650342.0
1764557698.7205553,2391,714511.5
1764557698.826872,2393,764464.75
1764557701.3994908,2437,707879.6875
1764557702.3063374,2454,654813.9375
1764557702.4127321,2456,708316.875
1764557702.680941,2461,650843.0625
1764557704.0145655,2486,704966.625
1764557704.0686827,2487,688137.1875
1764557704.6041994,2497,693585.375
1764557704.7106967,2499,692226.125
1764557704.9790175,2504,739696.1875
1764557705.726589,2518,724101.5
1764557706.0476043,2524,654026.0
1764557706.5266855,2533,688548.375
1764557707.326667,2548,778369.375
1764557707.6510522,2554,716936.8125
1764557714.8823957,2686,625382.375
1764557715.83156,2704,679591.625
1764557717.7976108,2741,647640.0
1764557718.5423295,2755,682613.25
1764557720.4025636,2790,677247.3125
1764557726.3293834,2897,652639.125
1764557730.0955842,2968,679166.25
1764557730.523311,2976,654656.625
1764557732.6479173,3012,674287.75
1764557734.076801,3039,692361.125
1764557734.2350311,3042,660601.8125
1764557737.3164778,3100,667440.3125
1764557740.5837805,3162,716311.5625
1764557742.3746798,3196,692263.8125
1764557742.427414,3197,679477.1875
1764557744.4274607,3231,611737.8125
1764557744.9519186,3241,640457.0625
1764557745.1620803,3245,690275.125
1764557745.2679112,3247,693567.6875
1764557745.3211458,3248,663008.1875
1764557748.3970265,3306,653462.75
1764557750.6418157,3346,638450.4375
1764557752.2819092,3377,648807.4375
1764557753.9282472,3404,636315.625
1764557754.193681,3409,660692.6875
1764557755.3607109,3431,670794.0
1764557756.3730032,3450,652828.0
1764557757.1676888,3465,600178.75
1764557758.0225482,3481,618790.625
1764557764.637784,3601,600164.0625
1764557765.5981307,3619,641628.6875
1764557765.7045176,3621,659640.0625
1764557767.6235874,3657,585003.625
1764557768.3727887,3671,665281.75
1764557771.3412178,3727,629118.0
1764557771.5530112,3731,595850.0625
1764557772.1377382,3742,685011.75
1764557774.9019592,3794,622780.3125
1764557776.2187748,3815,621056.3125
1764557776.4837406,3820,601180.25
1764557776.5897105,3822,633458.0625
1764557777.1186812,3832,613263.625
1764557778.8556273,3865,611179.375
1764557779.4894812,3877,637058.5
1764557782.2450395,3929,621630.625
1764557783.7296243,3957,604982.3125
1764557785.215358,3985,712259.625
1764557787.4360085,4023,632376.0625
1764557788.0156975,4034,606916.875
1764557788.173927,4037,638145.75
1764557791.1943686,4094,608084.5625
1764557791.4611487,4099,717258.75
1764557792.0509422,4110,660737.0625
1764557795.9842448,4183,584057.1875
1764557796.630968,4195,630879.375
1764557796.7404425,4197,583114.5
1764557797.2264493,4202,611993.375
1764557797.2797701,4203,609397.125
1764557798.628234,4228,605380.875
1764557798.8936777,4233,597959.25
1764557799.0565746,4236,614452.6875
1764557800.5511625,4264,626543.0
1764557800.7099183,4267,620770.5
1764557802.731988,4305,584155.0
1764557803.4276617,4318,623398.375
1764557803.5340362,4320,561807.375
1764557808.0643232,4401,604045.25
1764557809.8197703,4434,592712.0625
1764557813.1115327,4493,624412.6875
1764557814.0119462,4510,564621.8125
1764557815.1223285,4531,694680.875
1764557817.6809466,4579,609618.375
1764557817.8405113,4582,575150.625
1764557820.5554743,4629,601259.0
1764557822.4645617,4665,607239.5625
1764557822.677155,4669,593911.0625
1764557823.0987732,4677,593693.4375
1764557825.0551093,4714,601808.6875
1764557825.3183143,4719,608322.0
1764557827.004732,4751,567590.8125
1764557827.4285088,4759,579449.0
1764557829.015449,4789,601373.9375
1764557829.867337,4801,604899.6875
1764557829.9730582,4803,536918.625
1764557831.9852264,4841,587273.375
1764557832.621023,4853,598151.1875
1764557834.8562706,4895,675552.5
1764557838.463299,4963,598528.3125
1764557838.939537,4972,709769.75
1764557839.098829,4975,577637.875
1764557843.338931,5051,609059.0
1764557843.4445508,5053,586543.75
1764557843.4976938,5054,570482.5625
1764557846.3008502,5107,628779.875
1764557847.7994142,5135,592276.8125
1764557851.5318274,5201,565347.875
1764557853.6257184,5240,546169.375
1764557858.445834,5330,541184.9375
1764557859.3035848,5346,577170.0
1764557860.0565305,5360,539303.0625
1764557863.5453453,5421,591858.9375
1764557864.7251773,5443,534859.3125
1764557868.6285162,5516,629361.5625
1764557868.7358,5518,531253.875
1764557870.4479122,5550,691674.6875
1764557871.8612661,5574,611553.5
1764557872.607809,5588,581816.875
1764557875.1164682,5631,620975.875
1764557876.7168856,5661,641430.75
1764557876.9333434,5665,656867.1875
1764557877.7253408,5680,606664.3125
1764557879.90131,5721,611677.1875
1764557880.0609953,5724,562139.0625
1764557882.8899803,5777,571691.5625
1764557884.8050203,5809,585964.375
1764557885.7103138,5826,573110.4375
1764557885.8699725,5829,559719.5
1764557887.6846087,5863,625613.875
1764557887.7896018,5865,609136.875
1764557888.161061,5872,710649.75
1764557890.0660942,5908,607092.5625
1764557891.1747346,5929,559783.875
1764557892.440094,5953,574476.1875
1764557892.704195,5958,516545.84375
1764557893.0219572,5964,554206.0625
1764557894.449729,5991,593581.0
1764557895.717701,6011,526598.125
1764557895.98352,6016,550983.9375
1764557896.7750223,6031,545741.5625
1764557897.0380847,6036,562771.5
1764557899.3251364,6079,552322.3125
1764557901.6074522,6122,728360.25
1764557902.1365483,6132,533537.0625
1764557904.7808433,6182,525211.6875
1764557905.9965088,6201,547867.6875
1764557906.6856225,6214,573915.6875
1764557907.002955,6220,548586.6875
1764557907.6915586,6233,629762.4375
1764557910.7170892,6290,546926.375
1764557911.9437914,6313,533664.875
