Wall time,Step,Value
1764560016.087882,19,2526659.75
1764560017.4509397,43,2107406.75
1764560017.621394,46,1944825.75
1764560019.0945637,72,1413405.75
1764560020.400762,95,1284496.75
1764560024.0355334,159,1177252.5
1764560024.542514,168,1206897.25
1764560028.2838812,230,1115501.125
1764560028.5675695,235,1097327.25
1764560029.760148,256,1103798.375
1764560030.7857685,274,1070271.25
1764560032.778502,309,960198.75
1764560032.891742,311,1015947.125
1764560033.346571,319,1000428.25
1764560034.991996,348,1056852.875
1764560036.1247303,368,1058770.875
1764560039.3994787,422,1006546.3125
1764560041.6133647,461,924158.5
1764560042.4077506,475,954425.875
1764560045.9203815,537,979827.6875
1764560047.446557,564,916818.75
1764560048.352091,580,949063.25
1764560048.7473648,587,869586.8125
1764560048.807405,588,1110954.875
1764560051.70847,635,1036263.6875
1764560052.4577684,648,1062563.25
1764560053.251372,662,850295.75
1764560053.816274,672,963241.6875
1764560056.2483792,715,888694.0
1764560056.702217,723,1025532.5625
1764560059.1408422,766,898255.625
1764560059.3682115,770,907705.75
1764560059.4813116,772,867325.75
1764560060.2736685,786,875738.6875
1764560060.3873918,788,908760.125
1764560061.458192,803,851190.25
1764560061.797283,809,1021365.5
1764560063.3824337,837,887183.6875
1764560069.5767689,946,847317.1875
1764560071.0834367,972,831771.125
1764560071.1394424,973,857567.3125
1764560071.4809241,979,866329.8125
1764560073.0875802,1003,920922.25
1764560073.2622595,1006,850254.0
1764560073.7777674,1015,1030722.75
1764560076.5548239,1064,907242.75
1764560076.7237697,1067,902176.375
1764560078.253256,1094,840166.1875
1764560078.596844,1100,870215.0625
1764560078.8794625,1105,925311.5
1764560082.0013082,1157,883221.1875
1764560082.2868695,1162,826165.5
1764560082.3441315,1163,885147.3125
1764560083.370359,1181,807802.8125
1764560084.1124265,1194,832053.375
1764560087.2620444,1245,905712.1875
1764560088.2295828,1262,878060.875
1764560091.3621812,1317,795485.6875
1764560091.5359204,1320,783014.4375
1764560092.3369558,1334,949293.5
1764560092.5634513,1338,795262.1875
1764560095.2802844,1386,777771.125
1764560095.6773438,1393,927251.375
1764560097.134302,1415,899772.0
1764560097.8144226,1427,819452.875
1764560098.3804393,1437,795633.9375
1764560100.0757914,1467,807054.125
1764560100.6998742,1478,837345.5
1764560101.4919112,1492,754389.875
1764560103.3075566,1524,783360.6875
1764560104.9606085,1553,772165.5
1764560105.8675115,1569,703137.25
